T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 51 | 11212.1 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 4.0222 | Counter :- 52 | 11207.95 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 53 | 11216.27 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 54 | 11209.24 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 55 | 11205.66 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 56 | 11218.58 | Compounding Amt :- 1
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 57 | 11076.21 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 2.6061 | Counter :- 58 | 11046.44 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 59 | 10763.19 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 60 | 11226.32 | Compounding Amt :- 5.9861
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 61 | 11349.29 | Compounding Amt :- 7.1761
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 62 | 11353.63 | Compounding Amt :- 8.3661
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 63 | 11351.13 | Compounding Amt :- 9.556099999999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 11.371758999999999 | Counter :- 64 | 11345.32 | Compounding Amt :- 9.556099999999999
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 65 | 11342.51 | Compounding Amt :- 20.927858999999998
T&D :- 16/01/2023 20:17:00 | GBPUSD | call | 1.19 | Counter :- 66 | 11341.06 | Compounding Amt :- 22.117859
T&D :- 16/01/2023 20:17:00 | GBPUSD | put | 1.19 | Counter :- 67 | 11338.1 | Compounding Amt :- 23.307859
