T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 51 | 11265.68 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 8.270499999999998 | Counter :- 52 | 11256.92 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 53 | 11261.73 | Compounding Amt :- 15.220499999999998
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 18.112394999999996 | Counter :- 54 | 11230.65 | Compounding Amt :- 15.220499999999998
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 55 | 11265.63 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 56 | 11287.05 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 57 | 11285.72 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 58 | 11282.15 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 59 | 11283.21 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 60 | 11285.41 | Compounding Amt :- 4.57
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 61 | 11270.18 | Compounding Amt :- 5.76
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 62 | 11270.05 | Compounding Amt :- 6.949999999999999
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 63 | 11264.1 | Compounding Amt :- 8.139999999999999
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 9.686599999999999 | Counter :- 64 | 11258.56 | Compounding Amt :- 8.139999999999999
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 65 | 11221.68 | Compounding Amt :- 17.8266
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 66 | 11218.11 | Compounding Amt :- 19.0166
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 22.629754000000002 | Counter :- 67 | 11199.99 | Compounding Amt :- 19.0166
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 68 | 11309.01 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 69 | 11297.96 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 2.6061 | Counter :- 70 | 11279.97 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 71 | 11278.78 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 5.707359 | Counter :- 72 | 11270.56 | Compounding Amt :- 4.7961
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 73 | 11271.62 | Compounding Amt :- 10.503459
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 12.499116209999999 | Counter :- 74 | 11261.47 | Compounding Amt :- 10.503459
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 75 | 11286.18 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 76 | 11090.41 | Compounding Amt :- 1
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 77 | 11374.3 | Compounding Amt :- 2.19
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 78 | 11277.07 | Compounding Amt :- 3.38
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 79 | 11466.8 | Compounding Amt :- 4.57
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 80 | 11469.98 | Compounding Amt :- 5.76
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 6.8544 | Counter :- 81 | 11467.38 | Compounding Amt :- 5.76
T&D :- 16/01/2023 20:19:00 | EURGBP | put | 1.19 | Counter :- 82 | 11463.81 | Compounding Amt :- 12.6144
T&D :- 16/01/2023 20:19:00 | EURGBP | call | 1.19 | Counter :- 83 | 11460.36 | Compounding Amt :- 13.8044
